Gujarati_PAT,Gujarati_SAT,Mathematics_PAT,Mathematics_SAT,Science_PAT,Science_SAT,SocialScience_PAT,SocialScience_SAT,English_PAT,English_SAT,Hindi_PAT,Hindi_SAT,Attendance,Assessment,Final_Score
17,70,16,67,14,31,0,56,18,0,9,80,10,67,32.9
11,11,10,45,3,3,2,26,14,73,16,23,91,31,28.000000000000004
0,26,17,14,0,5,19,73,18,50,19,8,57,92,31.5
16,57,18,48,7,3,7,12,1,78,19,66,14,87,32.233333333333334
5,51,2,57,8,26,4,77,3,53,5,53,72,27,32.833333333333336
9,37,7,24,7,32,2,2,0,79,7,66,9,39,22.93333333333333
15,41,1,37,14,28,20,33,1,21,5,2,53,48,24.633333333333336
3,15,6,21,6,58,13,34,9,72,2,23,6,7,18.76666666666667
3,54,11,14,13,13,15,55,12,5,7,25,51,10,21.233333333333334
9,25,15,28,18,80,1,4,16,72,3,24,44,79,31.96666666666667
8,70,17,59,0,60,18,73,4,53,19,60,15,78,38.7
20,24,4,24,16,24,11,22,8,52,17,46,72,20,27.066666666666666
16,51,3,50,8,55,19,14,19,12,14,25,39,16,24.56666666666667
2,48,20,26,6,10,7,68,11,72,18,47,17,48,28.833333333333332
14,43,11,65,11,40,8,3,7,7,6,10,27,45,22.200000000000003
12,68,17,70,17,26,9,2,5,42,14,15,65,12,27.5
8,75,6,38,19,7,5,7,12,6,5,72,96,34,30.333333333333336
15,22,3,5,15,38,2,45,6,50,9,43,84,66,31.866666666666667
15,24,14,80,4,77,6,15,16,76,13,20,71,13,32.400000000000006
7,3,3,2,10,27,8,40,20,13,10,56,59,77,26.866666666666667
2,48,4,55,17,21,1,69,11,66,16,46,76,67,38.03333333333334
16,6,9,35,20,9,5,73,19,61,2,79,37,93,35.266666666666666
12,77,20,33,17,18,6,27,6,2,6,71,35,51,28.26666666666667
19,16,11,19,15,34,19,74,4,68,17,3,84,9,29.233333333333334
2,3,5,46,5,24,19,9,3,60,11,38,53,61,26.400000000000002
16,77,15,69,1,18,16,34,12,32,2,4,7,82,28.633333333333333
9,51,20,15,9,37,6,79,11,61,3,9,94,60,36.06666666666667
20,74,6,45,3,47,3,51,13,48,20,80,10,89,37.233333333333334
14,1,12,38,3,74,6,43,0,80,14,77,31,23,29.533333333333335
0,19,19,62,0,46,5,30,20,39,20,8,99,15,29.266666666666666
3,71,0,16,4,72,0,57,1,37,14,69,23,11,26.33333333333334
11,27,11,36,10,53,14,56,14,0,15,57,66,80,34.86666666666667
12,29,16,24,1,51,7,47,13,37,4,70,52,43,30.233333333333334
1,28,13,51,10,18,17,71,20,23,0,28,61,51,29.86666666666667
7,23,0,3,6,16,13,19,6,32,0,36,65,14,18.633333333333333
7,19,1,69,6,20,13,27,3,63,17,77,87,2,30.36666666666667
8,78,1,70,2,67,10,65,19,42,17,76,86,67,45.63333333333333
0,25,4,57,0,59,15,40,16,80,3,64,26,20,28.800000000000004
6,66,20,41,13,17,12,27,9,76,4,46,56,62,34.266666666666666
16,4,7,58,14,16,8,66,15,3,3,60,99,40,31.9
9,3,8,3,11,19,16,37,1,35,7,20,37,39,18.866666666666667
11,43,20,73,9,63,7,44,17,12,16,80,82,25,37.03333333333334
19,23,14,26,10,25,14,42,15,25,12,41,62,18,25.733333333333334
4,60,16,52,13,73,5,11,20,79,10,79,98,78,45.733333333333334
3,19,8,79,15,80,0,24,14,7,0,41,29,3,22.533333333333335
7,61,0,50,11,20,10,39,3,12,7,44,42,92,31.0
19,34,13,13,4,72,17,21,18,31,3,48,36,13,24.433333333333337
0,79,9,66,0,21,4,74,4,59,13,14,92,61,38.16666666666667
14,66,3,16,8,73,17,54,6,30,6,41,99,75,39.66666666666667
10,26,8,79,18,46,4,56,0,44,3,77,19,22,28.833333333333332
18,7,9,40,19,3,9,58,16,78,0,39,96,46,33.93333333333334
16,21,14,38,15,62,11,36,10,49,15,77,44,98,38.46666666666667
12,28,0,38,3,4,6,1,6,24,11,36,19,69,20.066666666666666
11,46,19,3,3,26,18,24,13,7,17,28,11,46,20.033333333333335
4,59,14,64,11,74,17,11,11,37,5,24,32,13,26.566666666666666
5,69,9,73,6,18,0,66,19,7,16,32,76,18,30.733333333333338
15,33,4,77,11,47,0,17,18,42,12,0,17,4,20.499999999999996
19,5,3,11,13,49,3,19,6,18,8,59,78,8,22.8
11,69,6,78,13,10,19,23,5,76,8,77,97,69,42.93333333333334
18,33,13,56,19,24,4,15,20,51,5,18,42,77,30.3
16,47,20,54,4,50,5,44,8,14,5,3,98,98,37.6
9,54,14,79,17,26,1,30,6,29,17,43,50,18,28.46666666666667
5,16,5,70,14,32,7,23,18,32,8,48,64,42,29.133333333333336
11,49,13,26,20,66,18,30,19,23,5,31,79,73,35.93333333333334
20,13,5,52,6,52,12,63,13,36,20,56,99,16,34.7
4,8,5,44,11,50,5,23,11,9,11,64,26,48,23.733333333333338
13,56,3,2,15,10,20,55,11,65,0,53,19,26,24.7
3,38,13,21,11,36,17,77,15,32,6,43,36,86,33.0
4,3,12,22,1,7,20,44,9,65,16,79,69,63,32.0
18,49,2,71,17,58,14,75,12,68,3,56,9,38,34.233333333333334
1,49,7,23,1,9,14,76,7,51,15,57,34,93,33.366666666666674
0,54,18,38,10,0,3,24,13,71,16,38,47,32,26.9
18,21,19,20,18,20,18,38,4,62,16,42,93,60,35.03333333333333
1,56,11,3,19,73,9,30,18,50,18,25,35,40,28.366666666666667
11,68,5,20,17,35,11,67,12,64,18,6,30,38,29.06666666666667
15,32,15,25,9,62,13,60,7,13,6,1,47,58,27.700000000000003
4,43,6,26,10,70,11,3,17,65,20,6,85,96,36.833333333333336
18,58,1,12,17,48,15,66,18,77,12,45,57,36,35.1
11,45,17,65,1,79,12,6,4,68,7,25,47,19,29.26666666666667
12,42,6,25,7,66,10,32,20,8,18,38,48,76,31.333333333333336
4,58,5,61,20,0,1,27,14,76,5,35,94,20,31.800000000000004
9,40,14,10,13,49,6,36,11,14,20,53,80,92,35.53333333333334
12,23,1,79,16,77,4,21,4,3,19,55,69,68,34.63333333333334
5,74,15,15,17,12,3,67,15,22,1,67,25,2,23.56666666666667
1,76,6,58,2,58,17,76,12,43,17,14,13,40,30.633333333333336
13,30,15,64,4,6,16,77,7,70,19,22,44,94,36.666666666666664
20,80,7,5,9,27,13,11,1,41,3,3,4,37,18.766666666666666
19,78,14,19,17,45,9,60,11,79,12,8,45,21,31.333333333333336
12,54,11,50,10,34,18,47,17,48,14,51,78,22,34.400000000000006
5,59,10,58,6,56,18,49,14,15,2,19,13,37,25.733333333333334
6,58,20,69,13,75,10,17,14,78,13,73,96,42,43.53333333333334
19,4,1,59,19,63,11,31,12,17,3,30,75,6,26.03333333333334
13,0,2,2,17,0,3,2,13,10,2,38,13,3,8.400000000000002
9,24,17,76,2,73,13,62,14,20,16,35,62,47,34.96666666666667
9,64,10,12,0,51,11,30,7,56,4,74,81,42,34.16666666666667
13,26,1,41,8,36,4,80,9,63,4,18,87,0,28.900000000000006
17,57,4,24,18,7,12,28,11,62,10,14,9,52,23.7
11,1,5,47,3,72,4,61,0,17,5,47,0,12,19.400000000000002
10,51,18,23,13,67,8,53,12,18,2,52,59,80,35.7
1,64,18,62,7,52,17,45,14,61,8,63,72,70,41.66666666666667
0,25,17,35,4,68,20,21,6,23,11,9,75,87,32.13333333333334
10,59,20,77,0,29,1,63,20,76,16,52,93,77,45.2
13,16,14,58,0,69,8,9,5,37,20,32,58,45,29.033333333333335
12,7,8,61,19,30,9,36,0,41,15,78,37,19,26.666666666666664
14,48,9,43,7,78,10,46,16,1,13,66,58,36,32.800000000000004
7,63,15,3,20,46,2,1,5,41,11,49,73,91,33.93333333333334
20,58,0,66,16,72,10,35,19,8,18,76,20,21,30.633333333333336
14,0,19,59,5,11,6,73,16,51,12,34,50,16,26.6
1,78,9,11,5,10,9,73,9,54,15,60,85,11,31.866666666666667
6,7,16,34,14,5,8,25,7,12,0,7,62,14,17.0
3,13,17,52,17,43,8,15,13,52,15,15,32,20,22.733333333333334
6,56,15,63,1,47,10,75,18,23,6,0,24,31,26.833333333333336
13,69,20,80,9,80,2,32,9,16,4,18,26,93,35.366666666666674
10,36,1,20,6,44,6,26,19,68,7,58,27,97,32.46666666666667
14,36,15,5,6,2,4,39,9,70,20,62,2,97,28.700000000000003
13,0,12,43,5,64,6,21,11,30,7,15,19,21,19.133333333333333
12,40,18,5,11,51,3,25,6,25,20,19,42,60,25.866666666666667
6,59,9,43,7,63,3,12,7,55,5,10,51,74,31.1
16,69,20,56,7,19,15,60,13,49,6,67,66,29,35.96666666666667
16,23,8,53,7,10,2,53,13,66,4,39,76,23,29.500000000000004
3,8,9,24,11,29,3,66,15,13,0,79,44,69,28.633333333333333
13,52,12,66,18,70,7,6,16,57,18,46,65,21,34.0
7,17,3,67,6,52,14,76,9,63,20,36,20,0,26.666666666666668
2,24,4,63,15,22,4,43,13,58,12,19,45,75,30.6
8,4,17,1,14,70,13,4,14,53,2,19,17,19,18.2
20,11,20,77,4,23,4,54,19,63,14,43,23,35,29.26666666666667
17,69,12,16,9,55,17,12,10,76,9,43,81,70,38.1
12,80,7,72,14,15,1,79,12,51,12,30,35,27,31.866666666666667
3,57,7,34,19,42,7,7,20,2,3,22,77,44,26.96666666666667
6,68,4,62,0,2,10,59,13,79,15,37,19,87,34.266666666666666
15,21,1,18,6,2,14,38,7,41,2,62,2,95,24.833333333333332
3,20,9,5,2,50,4,28,3,72,4,22,42,97,28.700000000000003
3,78,14,17,16,17,11,61,15,5,16,43,53,62,31.233333333333334
14,8,19,18,10,69,12,27,1,23,7,71,45,70,30.1
12,36,7,67,13,32,15,75,20,26,7,47,42,5,28.5
10,32,20,63,7,11,19,3,14,37,16,7,54,71,28.433333333333337
6,76,15,7,18,13,4,77,19,1,6,74,22,72,30.46666666666667
7,41,15,52,8,46,17,76,5,79,13,59,63,45,38.66666666666667
17,37,9,70,5,44,14,48,3,61,2,62,17,62,32.7
17,68,1,60,1,59,17,2,16,22,16,6,84,77,35.1
2,60,1,4,7,60,13,17,4,1,15,47,56,33,24.300000000000004
0,0,0,26,13,43,0,18,16,79,2,43,79,60,29.900000000000006
10,70,14,12,1,58,2,71,18,73,16,46,88,37,38.56666666666667
10,77,17,27,16,71,18,0,12,39,6,57,42,36,31.133333333333333
7,4,15,59,1,39,18,72,0,56,20,17,63,9,27.73333333333333
1,42,18,39,2,35,3,76,10,61,5,37,24,55,29.833333333333336
19,59,16,79,20,39,12,0,20,49,4,39,73,3,31.333333333333336
13,15,12,37,17,11,8,28,19,10,15,77,43,15,23.26666666666667
20,26,12,64,0,29,20,39,7,7,5,38,62,61,30.1
7,57,1,47,18,64,9,28,3,31,15,32,66,43,31.700000000000003
5,77,19,31,20,55,0,54,19,6,1,44,3,68,29.166666666666668
9,25,18,34,20,29,9,51,7,28,6,57,44,79,31.833333333333336
1,13,14,62,4,74,1,38,17,6,11,16,96,8,27.53333333333334
8,46,12,80,18,7,10,1,12,44,10,34,10,40,23.8
12,19,1,9,0,26,12,51,17,32,10,34,26,81,25.56666666666667
4,50,19,27,11,69,6,3,13,80,0,33,87,89,38.6
16,15,3,44,11,13,7,4,9,17,4,30,98,60,27.333333333333336
0,48,19,14,6,39,3,46,12,65,18,19,63,58,31.366666666666667
11,75,9,23,15,72,14,71,0,42,5,0,76,21,32.16666666666667
2,73,10,29,0,32,14,46,10,68,8,68,95,84,41.9
13,5,3,7,3,78,19,7,15,55,1,66,85,6,27.233333333333338
11,15,8,74,17,43,11,78,16,41,18,10,8,5,24.100000000000005
10,26,13,9,10,34,11,29,16,66,5,58,33,25,24.933333333333334
2,47,10,44,2,27,16,50,11,6,19,23,46,18,23.533333333333335
20,30,9,33,4,75,14,46,17,0,9,4,77,42,29.299999999999997
10,54,14,9,9,11,8,22,12,18,1,19,67,30,22.166666666666668
15,34,2,56,14,50,14,49,17,53,20,80,57,3,32.93333333333334
14,31,4,56,17,2,15,69,17,11,20,18,86,78,34.66666666666667
20,5,5,66,17,19,13,52,20,79,19,38,54,88,37.733333333333334
15,66,17,32,20,65,2,31,16,5,0,2,79,98,35.766666666666666
13,69,19,7,20,12,15,70,8,32,2,71,35,66,32.63333333333333
13,20,9,0,14,63,5,22,4,64,2,0,12,5,16.1
14,7,0,16,8,20,1,47,14,66,14,10,44,0,18.866666666666667
12,11,3,32,2,39,11,22,6,67,18,2,14,45,20.9
8,32,18,3,1,6,20,18,10,34,5,31,27,48,19.900000000000002
3,63,8,72,6,58,13,77,11,33,8,3,27,27,29.066666666666666
8,29,18,41,5,53,16,68,9,46,6,55,3,85,32.400000000000006
15,47,5,7,11,49,5,58,13,53,15,76,81,17,33.400000000000006
20,80,4,49,0,1,0,53,18,73,16,55,2,38,28.6
12,50,12,56,13,31,18,70,7,62,5,48,24,54,33.4
16,80,18,29,19,34,12,64,7,30,20,1,24,48,29.2
11,41,12,15,19,55,18,79,10,77,14,54,33,73,37.60000000000001
18,57,14,31,13,80,13,34,4,77,9,5,52,45,33.36666666666667
16,7,6,77,17,11,9,67,14,52,2,26,25,69,29.666666666666664
1,45,12,58,11,13,12,39,1,15,9,0,74,76,29.400000000000002
0,1,20,52,19,75,17,38,10,68,16,40,19,62,31.833333333333332
1,54,15,23,14,5,17,27,8,67,12,63,58,95,35.7
5,2,14,75,11,66,20,58,12,54,14,34,57,44,34.43333333333333
5,72,11,6,15,47,8,73,18,60,3,12,97,1,31.800000000000004
4,58,10,22,16,38,7,48,13,78,9,80,43,61,35.93333333333334
13,36,19,20,16,12,11,2,19,29,5,40,39,36,22.300000000000004
9,49,18,63,8,22,16,33,3,64,12,60,90,56,38.400000000000006
14,45,13,37,15,60,6,1,11,51,14,64,29,4,25.366666666666667
19,5,17,75,0,31,4,42,3,8,0,37,22,12,19.46666666666667
11,58,15,68,5,19,4,16,3,19,9,53,82,99,36.766666666666666
7,73,19,17,0,44,3,11,14,54,4,72,3,2,21.7
19,15,1,36,18,18,15,17,17,69,13,31,53,88,32.03333333333333
4,36,6,80,13,35,15,41,11,20,17,47,99,49,36.46666666666666
14,34,0,66,15,58,0,27,2,73,0,3,99,82,37.56666666666667
12,57,3,6,10,79,11,72,5,50,1,45,62,71,36.7
7,16,10,75,9,7,17,43,19,51,12,60,96,4,31.733333333333334
3,28,6,28,10,56,17,44,4,49,0,1,78,52,29.400000000000002
2,77,7,41,6,22,14,31,0,24,12,40,85,22,29.099999999999998
8,24,12,44,12,58,14,76,14,68,1,57,30,33,32.166666666666664
8,62,4,74,5,74,0,68,19,30,6,61,39,88,40.10000000000001
6,46,19,44,20,31,2,63,14,26,9,33,67,58,33.36666666666667
20,49,16,20,5,73,15,2,3,43,9,80,96,33,35.233333333333334
20,8,7,0,19,62,13,10,19,18,3,31,20,96,25.6
5,32,14,12,2,24,9,10,20,79,8,26,10,95,26.566666666666666
13,4,15,1,5,19,3,53,18,46,5,0,16,22,15.933333333333334
11,60,20,28,8,44,20,37,6,76,6,14,59,45,32.4
19,68,6,7,19,13,11,9,9,15,10,22,66,10,21.46666666666667
20,6,12,48,8,60,13,22,1,23,2,50,65,38,27.96666666666667
8,55,14,11,2,48,4,49,20,21,15,32,59,71,31.6
12,56,12,11,0,50,17,15,13,20,2,65,11,4,19.7
8,2,20,64,7,3,16,12,1,24,1,0,23,3,13.133333333333335
20,80,5,13,10,71,20,20,12,64,20,25,70,43,35.3
6,72,10,47,0,73,1,47,6,42,16,37,12,5,25.500000000000004
20,22,14,2,12,44,10,75,1,78,9,80,4,10,25.866666666666667
7,61,17,37,9,80,4,12,5,47,18,51,37,91,36.0
16,4,1,49,0,70,12,63,20,64,11,64,45,56,35.03333333333334
10,65,0,54,6,44,1,28,2,8,20,73,87,31,32.53333333333334
7,56,7,59,3,75,5,22,15,30,8,5,14,61,26.966666666666665
16,38,5,55,17,44,3,55,2,54,15,6,66,23,29.56666666666667
1,20,7,8,10,22,12,28,19,50,3,44,64,29,24.233333333333334
13,18,4,28,1,32,15,70,15,33,17,22,77,11,26.666666666666668
10,41,1,47,13,77,1,78,16,56,17,80,23,93,40.733333333333334
1,31,7,79,7,19,1,47,8,49,12,61,11,14,23.96666666666667
14,4,10,6,1,21,11,58,8,31,18,8,23,82,23.16666666666667
18,1,8,15,2,29,3,40,1,22,8,8,54,4,16.133333333333336
4,58,11,9,12,63,2,72,19,15,4,35,87,68,35.766666666666666
19,30,9,45,1,44,17,21,3,66,0,28,56,46,29.06666666666667
0,10,13,7,2,12,0,40,1,12,1,6,23,37,12.933333333333334
13,24,13,3,2,33,2,63,8,62,20,24,73,90,34.1
18,55,0,67,18,6,16,52,13,0,19,18,58,67,31.3
19,27,0,55,2,46,1,20,2,56,3,63,15,68,27.900000000000002
5,21,14,38,8,37,12,30,19,25,7,39,53,56,27.900000000000002
0,38,13,23,19,7,9,77,8,36,8,19,97,95,36.333333333333336
8,1,0,77,18,21,7,50,18,8,19,13,63,56,27.900000000000002
4,24,2,22,18,56,3,25,9,7,16,44,68,88,30.933333333333334
1,16,8,27,8,18,6,51,7,54,14,20,13,1,16.733333333333334
1,41,16,3,2,9,12,78,20,42,18,6,79,85,32.93333333333334
11,43,20,43,19,53,18,49,12,40,3,1,81,80,36.9
8,10,7,67,15,32,2,37,3,25,9,45,73,89,33.53333333333334
3,34,14,42,11,1,19,60,0,49,7,38,13,75,27.333333333333336
15,48,16,60,7,18,15,56,16,14,14,50,0,29,24.833333333333336
20,62,9,6,15,37,3,50,4,63,10,55,25,89,33.666666666666664
18,45,11,59,19,2,10,57,14,78,14,57,39,27,32.2
10,78,11,66,9,28,11,22,5,76,16,23,41,35,31.26666666666667
8,31,15,21,4,38,10,44,12,66,5,41,66,96,35.866666666666674
19,50,17,74,5,58,8,11,4,18,9,50,94,40,34.93333333333334
19,68,7,7,4,63,7,0,5,54,18,40,91,35,32.06666666666667
8,72,17,78,17,9,5,13,1,15,11,72,55,84,35.1
5,70,17,60,2,4,7,12,1,52,20,61,70,25,30.233333333333334
6,72,20,14,17,53,2,50,12,2,17,30,80,16,29.26666666666667
4,46,1,47,18,2,0,59,5,3,9,73,40,55,27.300000000000004
20,67,1,36,20,79,1,80,10,21,9,28,56,17,32.1
7,58,19,79,16,8,16,74,7,34,17,63,5,8,27.833333333333332
12,55,17,74,4,33,17,57,9,23,8,39,44,18,29.400000000000002
11,42,9,53,3,19,12,43,12,8,17,36,80,40,29.666666666666668
1,28,20,44,7,16,10,11,19,39,7,74,33,15,23.200000000000003
13,9,6,59,10,12,5,26,18,62,3,1,11,20,18.033333333333335
13,11,11,29,6,66,20,40,11,29,2,2,64,58,28.2
12,16,17,42,2,49,11,40,2,59,13,14,25,33,24.266666666666666
4,59,2,60,4,21,14,77,4,45,1,25,43,17,27.06666666666667
7,63,16,24,2,41,15,15,4,16,13,48,85,26,28.700000000000003
14,62,1,16,10,7,10,79,11,21,1,14,59,12,23.499999999999996
15,37,9,0,3,61,16,14,15,72,4,65,45,47,29.933333333333334
15,33,19,55,1,30,4,6,18,72,17,60,53,82,35.5
10,49,3,19,13,41,10,55,7,77,16,68,33,33,31.133333333333336
5,67,8,63,13,60,2,71,20,20,8,42,70,15,33.766666666666666
8,66,8,13,4,17,9,23,8,60,0,23,97,86,34.233333333333334
6,26,17,60,4,60,17,13,11,18,14,18,61,77,31.400000000000002
12,65,19,32,12,5,14,29,5,29,17,58,95,5,29.8
20,52,10,68,20,75,2,24,13,21,2,73,8,13,27.433333333333337
8,50,8,62,12,60,1,66,6,38,3,42,35,35,30.733333333333334
2,62,13,24,10,75,8,66,1,13,10,62,73,54,35.76666666666667
2,80,17,1,2,21,11,1,20,24,12,54,72,40,27.533333333333335
2,68,6,23,1,1,17,8,20,18,16,75,9,63,24.2
5,80,0,28,6,39,6,40,0,27,17,61,81,69,35.6
11,74,16,42,9,76,8,3,10,70,7,28,19,50,30.5
17,57,15,48,13,78,2,73,9,51,5,24,93,17,37.13333333333334
5,66,18,56,14,15,18,66,3,54,9,63,62,25,34.50000000000001
12,21,8,35,6,63,7,32,17,50,13,9,2,3,18.7
6,71,10,59,4,31,10,17,17,40,15,59,37,53,31.599999999999998
17,23,16,59,15,44,9,25,20,70,3,39,61,97,38.466666666666676
7,1,10,9,15,30,19,32,12,43,14,70,5,67,24.666666666666668
13,67,2,59,6,19,15,32,10,9,14,38,39,14,24.233333333333334
7,11,2,69,2,46,11,65,11,78,15,25,62,74,36.4
18,12,15,39,8,54,14,69,2,3,17,60,87,99,39.333333333333336
6,4,17,38,10,22,13,15,19,57,15,67,62,86,33.666666666666664
2,44,9,63,15,55,17,34,2,74,18,71,27,7,30.333333333333332
17,26,1,40,19,50,15,3,4,2,0,55,91,30,27.56666666666667
14,80,16,70,19,1,8,62,15,58,18,21,27,40,32.16666666666667
8,14,11,38,1,59,19,32,18,13,1,0,18,39,19.96666666666667
1,73,10,19,10,33,17,37,5,8,11,18,67,1,22.933333333333334
13,3,11,72,12,45,2,3,14,20,6,59,89,16,27.833333333333336
9,48,15,3,10,35,7,0,6,52,0,8,55,56,23.96666666666667
3,37,12,79,2,42,8,10,12,15,7,6,30,11,19.633333333333336
15,45,20,28,18,18,16,19,9,80,19,50,22,62,30.866666666666667
16,8,4,20,1,21,18,14,2,61,13,52,67,90,31.033333333333335
13,57,9,30,10,70,0,41,10,75,15,24,85,98,41.900000000000006
17,72,12,8,3,51,0,20,7,70,15,66,60,20,30.733333333333338
6,40,1,54,10,41,17,74,3,70,1,35,61,22,31.76666666666667
19,28,20,27,4,48,18,16,2,40,20,78,62,42,31.733333333333334
18,34,16,74,17,21,14,19,2,13,3,74,51,83,33.733333333333334
1,77,7,61,17,41,13,76,4,66,10,58,83,50,42.03333333333333
16,75,10,32,13,64,18,51,11,60,17,78,42,75,41.36666666666667
7,8,3,70,12,29,4,20,0,53,12,33,36,64,26.733333333333334
12,44,19,65,20,73,14,70,20,47,6,30,10,53,34.300000000000004
12,24,1,26,8,32,6,35,16,63,4,60,57,43,29.133333333333333
8,23,7,68,8,53,8,51,14,34,18,27,43,48,30.366666666666667
3,43,9,37,19,71,8,11,0,51,3,39,76,71,34.300000000000004
4,66,19,65,2,27,20,60,16,47,4,28,91,88,41.766666666666666
7,61,1,41,4,11,5,17,12,5,17,50,30,37,22.099999999999998
0,63,3,30,8,40,6,3,10,57,10,22,62,42,27.200000000000003
19,42,1,44,19,10,1,79,14,1,8,70,26,91,32.233333333333334
